"id","parent_id","name_th","name_en","order_on","status","created_on","created_by","updated_on","updated_by"
"1","0","นานาชาติ","International","1","Y","2019-02-11 21:52:05","-","0000-00-00 00:00:00","-"
"2","0","เอเชีย","Asia","2","Y","2019-02-11 21:52:05","-","0000-00-00 00:00:00","-"
"3","0","ออสเตรเลีย","Australia","3","Y","2019-02-11 21:52:05","-","0000-00-00 00:00:00","-"
"4","0","ยุโรป","Europe","4","Y","2019-02-11 21:52:06","-","0000-00-00 00:00:00","-"
"5","0","อเมริกา","America","5","Y","2019-02-11 21:52:06","-","0000-00-00 00:00:00","-"
"6","0","แอฟริกา","Africa","6","Y","2019-02-11 21:52:06","-","0000-00-00 00:00:00","-"
"7","2","อาหารเกาหลี","Korean food","1","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"8","2","อาหารจีน","Chinese food","2","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"9","2","อาหารญี่ปุ่น","Japanese food","3","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"10","2","อาหารไทย","Thai food","4","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"11","2","อาหารเนปาล","Nepali food","5","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"12","2","อาหารพม่า","Burmese food","6","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"13","2","อาหารฟิลิปปินส์","Filipino food","7","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"14","2","อาหารมาเลเซีย","Malaysian food","8","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"15","2","อาหารมุสลิม / อิสลาม","Muslim food","9","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"16","2","อาหารรัสเซีย","Russian food","10","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"17","2","อาหารเลบานอน","Lebanese food","11","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"18","2","อาหารเวียดนาม","Vietnam food","12","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"19","2","อาหารสิงคโปร์","Singapore food","13","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"20","2","อาหารอินเดีย","Indian food","14","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"21","2","อาหารอินโดนิเซีย","Indonesian food","15","Y","2019-02-11 21:59:01","-","0000-00-00 00:00:00","-"
"22","3","อาหารออสเตรเลียน","Australian food","1","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"23","4","อาหารกรีก","Greek food","1","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"24","4","อาหารยุโรปตะวันออกกลาง","Middle Eastern European food","2","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"25","4","อาหารตุรกี","Turkish food","3","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"26","4","อาหารเนเธอร์แลนด์","Netherlands food","4","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"27","4","อาหารเบลเยียม","Belgian food","5","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"28","4","อาหารฝรั่งเศส","French food","6","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"29","4","อาหารเมดิเตอร์เรเนียน","Mediterranean food","7","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"30","4","อาหารยิว","Jewish food","8","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"31","4","อาหารเยอรมัน","German food","9","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"32","4","อาหารสเปน","Spanish food","10","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"33","4","อาหารสวิส","Swiss food","11","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"34","4","อาหารอังกฤษ","English food","12","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"35","4","อาหารอิตาเลียน","Italian food","13","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"36","4","อาหารไอริช","Irish food","14","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"37","5","อาหารอเมริกัน","American Food","1","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"38","5","อาหารคิวบา","Cuban food","2","Y","2019-02-11 21:59:02","-","0000-00-00 00:00:00","-"
"39","5","อาหารบราซิล","Brazilian food","3","Y","2019-02-11 21:59:03","-","0000-00-00 00:00:00","-"
"40","5","อาหารเม็กซิกัน","Mexican food","4","Y","2019-02-11 21:59:03","-","0000-00-00 00:00:00","-"
"41","5","อาหารอาร์เจนตินา","Argentine food","5","Y","2019-02-11 21:59:03","-","0000-00-00 00:00:00","-"
"42","6","อาหารโมร็อกโก","Moroccan food","1","Y","2019-02-11 21:59:03","-","0000-00-00 00:00:00","-"
"43","10","อาหารไทยชาววัง","Royal Thai food","1","Y","2019-02-11 22:01:23","-","0000-00-00 00:00:00","-"
"44","10","อาหารไทยภาคกลาง","Central Thai food","2","Y","2019-02-11 22:01:23","-","0000-00-00 00:00:00","-"
"45","10","อาหารไทยภาคใต้","Southern Thai food","3","Y","2019-02-11 22:01:23","-","0000-00-00 00:00:00","-"
"46","10","อาหารไทยภาคเหนือ","Northern Thai food","4","Y","2019-02-11 22:01:23","-","0000-00-00 00:00:00","-"
"47","10","อาหารไทยภาคอีสาน","Esan's Thai food","5","Y","2019-02-11 22:01:23","-","0000-00-00 00:00:00","-"
"48","1","a",,"1","N","2019-05-29 11:12:30","-","2019-05-29 11:12:40","-"
"49","48","b",,"1","N","2019-05-29 11:12:30","-","2019-05-29 11:12:40","-"
